pitch_type,stand,pitcher,p_throws,release_speed,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_extension
CH,L,Luis Castillo,R,-0.30275408133044984,-0.8719838075376798,1.4234528750904702,-1.2635580363352554,-1.4771509062467496,-0.7166998569468486,-1.6950745980136694,0.0636105369308438,0.4615848758496611,0.33360469483256583,1.0587272043388356,-1.252677757564799,0.4789989184749911,-0.8667687273489647,-0.5666947122684383,-1.5032638767439357
FF,L,German Marquez,R,1.000867630165769,-0.714175202947605,0.968797031890354,0.2943020596450772,-0.42629124070190233,0.8728148167683656,1.3606633557836554,-0.2929378995341905,1.2214109112971316,-0.9515483076700788,-1.1712404495002797,-0.5795132762614119,1.1780955182363333,0.986517940800183,0.7258563929268356,-0.8844814774074589
FF,L,Luis Castillo,R,1.2827317840027912,-0.7246957765869433,1.6507807966905284,-0.4846279883450891,-1.2903314101498877,0.34297659219662757,-0.13194710626349956,0.37821209851763915,0.9667612027912464,-1.2399943459809488,-0.060018321401541154,-1.4603435665377207,1.6584047526082095,0.38793367227357606,0.8937201728223256,-1.7095246765227625
SL,R,Julio Teheran,R,-1.2540456005303955,-0.7983397920623116,0.5554735380720733,-2.372943256200037,1.0565885095669376,-0.6908540898945686,-0.01441872342514089,-0.6494863359992248,0.21978369786471472,1.2365562988124688,1.1213652059516706,0.8839644074118677,-1.5080512790149079,-0.8586321201384323,-1.1877906978817518,-0.47195987784980703
FF,R,Gerrit Cole,R,1.3708143320768602,-0.5616268851771993,-0.43650284709182985,-0.46102404749690273,-0.5547296442684948,1.079580953186605,-0.12019426797966369,0.9130347532151907,0.6494853164286299,-1.360034524880925,-0.1375410651235856,-0.7126975536910384,2.3504214362446176,1.2946410580737735,1.2462341106028538,0.3530833212654947
FF,R,Anibal Sanchez,R,0.04957611096582598,0.6324582228877008,-1.18048513596475,-0.10696493477409912,0.20422455862500602,1.0278894190820451,0.3616721016576068,0.7033003788239942,-0.4316978579790385,-0.09363830094283294,-0.0269580720615741,0.2668177623286223,-0.1225703835575422,0.936502469452165,0.25583780921946153,1.1781265203807982
SL,R,Aaron Brooks,R,-0.7607833313156098,-0.5405857378985226,0.6794705862175502,0.9316084625461212,0.624568424842945,-0.8071600416298284,-0.03792439999281262,-0.8592207103904217,0.17085909253590317,0.7447282076719206,-0.28531052965808995,0.5688291428032991,-1.131803553637122,-0.8761508436800001,-0.7513448701534787,-0.6782206776286339
FF,R,Cole Hamels,L,0.41952281287691456,2.079037098296721,-0.1885087508008614,0.45952964558238585,1.18502691313353,0.7306630979808263,2.112845005949151,0.17896444284600233,-1.2571725634853848,-0.43170690371891834,-0.599660129295833,1.3080365633277036,0.24691119317367652,0.7224226817810017,0.440487967104502,0.14682252148666972
CU,L,Zack Greinke,R,-3.8789055331376514,0.1695529827568145,1.6507807966905284,0.978816344242496,1.6637518718817381,-2.3449831812404827,-0.46102657821090376,-1.2052824281358963,-0.7281420389860657,3.897930233628196,1.6020129964174916,1.0732493435677826,-2.409167732777625,-1.815307782742632,-3.8903975541991405,-1.7095246765227625
SL,R,Trevor Bauer,R,-1.5182932447526023,-0.2144479550790345,-0.3745043230190841,-1.1927462137906943,2.446058511787347,-0.9493117604173678,2.7827567881277955,-2.033733206981123,0.30636280230285845,1.5146942383089206,-0.021281475166830776,1.853646511482223,-0.33550971827672627,-0.9865717660721619,-1.4731591237040855,0.3530833212654947
FT,R,Drew Pomeranz,L,-0.21467153325638086,2.063256237837713,2.7874204046908333,0.978816344242496,1.675428090387792,0.7048173309285464,0.9963253689847436,0.5145394418719169,-1.6892777782662056,0.24226028512985615,-0.14967442343239165,1.659782797940552,-0.28166858358268176,0.4542455320035125,-0.5666947122684383,-2.740828675416891
SL,L,Luis Castillo,R,-0.6198512543971001,-0.840422086619665,1.7541116701451096,-0.9331028644606402,0.44942514725213706,-0.600393905211589,0.5849760290504884,-0.9011675852686611,0.6395866989433473,0.6640278790929778,0.26618303371671653,0.33321155616071746,0.7584535990326421,-0.7245522714209515,-0.9695677840176153,-1.7095246765227625
FC,R,Anibal Sanchez,R,-0.5141521967082158,0.5535539205926633,0.10081769487194248,-0.13056887562228547,0.8931214504821837,0.3042079416182077,1.6427314745957162,1.1227691276063876,-0.14849071066761135,0.4810524177618432,0.9411595166422121,0.8441556230224437,-0.8707865266062005,0.06221103143515713,-0.4324036883520467,-0.059438278292155255
FF,R,Julio Teheran,R,0.3842897936472865,-0.750997210685289,-0.06451170265536983,-2.6089826646819065,-0.4613198962200639,0.536819845088727,-0.6843305056037854,-0.6494863359992248,0.4975745822166934,-0.3893509608435233,-0.02229973055842156,-0.4775635684646181,0.09412271327899513,0.48097863499076104,0.39012883313585545,0.14682252148666972
KC,R,Drew Pomeranz,L,-2.099638062041457,2.015913656460691,4.192720283673017,1.1440439301798047,-0.14606199655660973,-2.4612891329757423,-1.2484667432279068,-1.0479816473424988,-1.7373111031284332,2.1374666971775316,0.869822897888764,0.1997299623836777,-2.1627415511023105,-2.0727067228789062,-2.4299826691083792,-4.18465427386867
SL,R,Gerrit Cole,R,0.10242563981026685,-0.5511063115378609,0.05948534549012174,-0.22498463901503296,0.9281501060003453,-0.1739387488489706,1.9012939168401053,-0.5760793049623061,0.8109106026421026,-0.09119135642055388,-0.30407294255758277,0.7791248167415693,0.567219881900936,-0.23537947713743987,0.037614895355324945,-0.059438278292155255
FF,L,Zack Greinke,R,0.29620724557321754,-0.046118776849621235,0.4934750139993275,0.6247572315196924,-0.44964367771401004,0.7177402144546863,-1.0486684924026972,0.30480506748072,-0.20139303515705814,-0.31865686944359456,-0.47810413736676327,-0.37630413876073954,-0.010737343951999236,0.6563616439397848,0.25583780921946153,-0.47195987784980703
CU,R,Cole Hamels,L,-2.170104100500713,2.1947634083294423,1.1961249534904121,0.08186659201139587,-0.34455771115952527,-1.970219558982424,-0.6020606376169342,-0.8592207103904217,-1.6418496612917024,2.1670942270907148,1.1400605117526326,0.047674017858069025,-2.0981795280473583,-1.7817141601879805,-2.1446142432860458,-1.2970030769651106
